Pmid,Title,Study Type,Key Words,Pub year,Relevance GT,Relevance PRED
31321466,MR safety assessment of active implantable medical devices.,SystematicReview,Compatibility,2019,0.0,1.0
31310417,Effectiveness of Neurostimulation Technologies for the Management of Chronic Pain: A Systematic Review.,SystematicReview,Chronic pain,2020,1.0,1.0
31302380,Detection of bacterial DNA on neurostimulation systems in patients without overt infection.,ObservationalStudy,Bacterial DNA,2019,1.0,1.0
31295615,Interleaving Stimulation in Parkinson Disease: Interesting to Whom?,ObservationalStudy,Deep brain stimulation,2019,1.0,1.0
31288242,Patient Experience with Rechargeable Implantable Pulse Generator Deep Brain Stimulation for Movement Disorders.,ObservationalStudy,Deep brain stimulation,2019,1.0,1.0
31280257,Single-Center Complication Analysis Associated with Surgical Replacement of Implantable Pulse Generators in Deep Brain Stimulation.,ObservationalStudy,Complications,2019,1.0,1.0
31265205,"Outcomes of a Multicenter, Prospective, Crossover, Randomized Controlled Trial Evaluating Subperception Spinal Cord Stimulation at ≤1.2 kHz in Previously Implanted Subjects.",RCT,Chronic pain,2020,1.0,1.0
31226620,Clinical determinants of psychopathological outcomes after epilepsy surgery.,ObservationalStudy,Epilepsy surgery,2019,0.0,1.0
31190100,[MR safety assessment of active implanted medical devices. German version].,SystematicReview,Compatibility,2019,0.0,1.0
31157949,"Redefining Spinal Cord Stimulation ""Trials"": A Randomized Controlled Trial Using Single-Stage Wireless Permanent Implantable Devices.",RCT,Back and leg pain,2020,1.0,1.0
31139864,[Sacral neuromodulation in under- and overactive detrusor-quo vadis? : Principles and developments].,SystematicReview,Detrusor activity,2019,1.0,1.0
31107559,First-in-human implantation of a mid-field powered neurostimulator at the sacral nerve: Results from an acute study.,ObservationalStudy,first-in-human,2019,1.0,1.0
31093277,Wirelessly Powered Endoscopically Implantable Devices into the Submucosa as the Possible Treatment of Gastroesophageal Reflux Disease.,ObservationalStudy,,2019,1.0,1.0
31062294,Comparison and Selection of Current Implantable Anti-Epileptic Devices.,ObservationalStudy,DBS,2019,1.0,1.0
31059853,Deep Brain Stimulation Generator Replacement in End-Stage Parkinson Disease.,ObservationalStudy,Battery life,2019,0.0,1.0
31054557,Baroreflex stimulation for treating resistant hypertension: ready for the prime-time?,SystematicReview,Resistant hypertension,2018,0.0,1.0
31054337,Risk Factors Associated with Lead Migration Requiring Revision in Dorsal Root Ganglion Stimulation.,ObservationalStudy,Chronic pain,2019,0.0,1.0
31053055,Therapeutic strategies that act on the peripheral nervous system in primary headache disorders.,CaseSeries,Botulinum neurotoxin type A-hemagglutinin complex,2019,0.0,1.0
31042596,Contemporary Approaches to Preventing and Treating Infections of Novel Intrathecal Neurostimulation Devices.,SystematicReview,Biofilm,2019,0.0,1.0
31035839,"The involvement of liquid crystals in multichannel implanted neurostimulators, hearing and ENT infections, and cancer.",SystematicReview,Biocolloid,2019,0.0,1.0
31018908,The Footprints of Electrocardiographic Interference: Fact or Artefact.,SystematicReview,ECG artefact,2019,0.0,1.0
31018187,Miniature electroparticle-cuff for wireless peripheral neuromodulation.,ObservationalStudy,,2019,1.0,1.0
30997509,Balancing Operative Efficiency and Surgical Education: A Functional Neurosurgery Model.,ObservationalStudy,Comfort,2019,0.0,1.0
30985902,Association of Closed-Loop Brain Stimulation Neurophysiological Features With Seizure Control Among Patients With Focal Epilepsy.,ObservationalStudy,,2019,0.0,1.0
30970205,Recent advances in the neurosurgical treatment of pediatric epilepsy: JNSPG 75th Anniversary Invited Review Article,SystematicReview,pediatric,2019,0.0,1.0
30929666,Long-term outcome in neurostimulation of epilepsy.,RCT,Closed-loop stimulation,2019,0.0,1.0
30915982,"Pain, placebo, and test of treatment efficacy: a narrative review.",SystematicReview,implantable neurostimulators,2019,0.0,1.0
30903858,Status dystonicus in pantothenate kinase-associated neurodegeneration due to internal pulse generator depletion: Case study and literature review.,Other,Deep brain stimulation,2019,0.0,1.0
30878509,Multi-electrode sequential versus single electrode stimulation to elicit the stapedial reflex during cochlear implantation: Correlation with maximum comfort level.,ObservationalStudy,Cochlear implantation,2019,1.0,1.0
30860268,Intraoperative High Impedance Levels During Placement of Deep Brain Stimulating Electrode.,Other,Deep brain stimulation,2019,1.0,1.0
30860266,Automatic Segmentation of the Subthalamic Nucleus: A Viable Option to Support Planning and Visualization of Patient-Specific Targeting in Deep Brain Stimulation.,ObservationalStudy,Automatic anatomical segmentation,2019,0.0,1.0
30851040,Deep Brain Stimulation in Patients With Concomitant Cardiac Pacemakers: A Case Series.,CaseSeries,Cardiac pacemakers,2019,0.0,1.0
30850259,Brain-responsive neurostimulation for epilepsy (RNS® System).,RCT,Brain-responsive neurostimulation,2019,1.0,1.0
30849436,ReStore: A wireless peripheral nerve stimulation system.,ObservationalStudy,Implantable pulse generator,2019,1.0,1.0
30842036,Battery longevity of neurostimulators in Parkinson disease: A historic cohort study.,CohortStudy,Battery longevity,,0.0,1.0
30834611,How to implant a phrenic nerve stimulator for treatment of central sleep apnea?,RCT,central sleep apnea,2019,0.0,1.0
30833216,Dual threshold neural closed loop deep brain stimulation in Parkinson disease patients.,ObservationalStudy,Bradykinesia,,1.0,1.0
30809700,Remotely programmed sacral neuromodulation for the treatment of patients with refractory overactive bladder: a prospective randomized controlled trial evaluating the safety and efficacy of a novel sacral neuromodulation device.,RCT,Electric stimulation,2019,1.0,1.0
30802868,Arbitrary-Waveform Electro-Optical Intracranial Neurostimulator With Load-Adaptive High-Voltage Compliance.,ObservationalStudy,,2019,1.0,1.0
30799493,Deep Brain Stimulation for Pain in the Modern Era: A Systematic Review.,SystematicReview,Chronic pain,2020,0.0,1.0
30794909,Abdominal Versus Standard Placement of the Sacral Nerve Stimulator Implantable Pulse Generator.,ObservationalStudy,,2019,0.0,1.0
30790780,Early seizure detection for closed loop direct neurostimulation devices in epilepsy.,SystematicReview,,2019,1.0,1.0
30771997,Detection of the sentinel node using a magnetic tracer in thyroid cancer. A technical pilot study.,ObservationalStudy,Carcinoma tiroideo,2019,0.0,1.0
30704683,Seizures and Epilepsy.,SystematicReview,Antiepileptic drugs,2019,0.0,1.0
30690434,CMOS stimulating chips capable of wirelessly driving 473 electrodes for a cortical vision prosthesis.,Other,,2019,1.0,1.0
30667299,Epidural Spinal Cord Stimulation Facilitates Immediate Restoration of Dormant Motor and Autonomic Supraspinal Pathways after Chronic Neurologically Complete Spinal Cord Injury.,Other,autonomic,2019,0.0,1.0
30629245,Frameless Robot-Assisted Deep Brain Stimulation Surgery: An Initial Experience.,CohortStudy,DBS,2019,0.0,1.0
30620935,Behavioral validation of a wireless low-power neurostimulation technology in a conditioned place preference task.,ObservationalStudy,,2019,1.0,1.0
30592526,"A prospective, multicenter study of a novel, miniaturized rechargeable sacral neuromodulation system: 12-month results from the RELAX-OAB study.",ObservationalStudy,overactive bladder,2019,0.0,1.0
30558717,Neurostimulation for depression in epilepsy.,SystematicReview,Electroconvulsive therapy,2018,0.0,1.0
30553618,Deep brain stimulation of the subthalamic nucleus in Parkinson's disease: Relationship between the electrode trajectory and cognitive decline.,ObservationalStudy,Caudate,2019,0.0,1.0
30526131,"Neuromodulation - Science and Practice in Epilepsy: Vagus Nerve Stimulation, Thalamic Deep Brain Stimulation, and Responsive NeuroStimulation.",ObservationalStudy,Neurostimulation,2019,1.0,1.0
30500485,Changes in self-perception in patients treated with neurostimulating devices.,ObservationalStudy,Deep brain stimulation,2019,0.0,1.0
30473473,Pediatric sacral nerve stimulator explanation due to complications or cure: a survival analysis.,CohortStudy,Refractory voiding dysfunction,2019,0.0,1.0
30444276,High-Frequency (10 kHz) Electrical Stimulation of Peripheral Nerves for Treating Chronic Pain: A Double-Blind Trial of Presence vs Absence of Stimulation.,RCT,10 kHz,2019,1.0,1.0
30444012,Dysfunctional hypoglossal nerve stimulator after electrical cardioversion: A case series.,CaseSeries,Hypoglossal nerve stimulator,2019,0.0,1.0
30399090,Sacral Nerve Stimulation as a Therapy for Patients With Refractory Voiding and Bowel Dysfunction.,SystematicReview,,2018,0.0,1.0
30360936,Electrical stimulation of the insulo-opercular region: visual phenomena and altered body-ownership symptoms.,ObservationalStudy,Body-ownership,2018,0.0,1.0
30355456,Responsive neurostimulation: Candidates and considerations.,SystematicReview,Chronic ECoG,2018,0.0,1.0
30346640,Development of a Remote-Controlled Implantable Rat Sacral Nerve Stimulation System.,ObservationalStudy,chronic,2019,1.0,1.0
30303994,In vitro electrochemical assessment of electrodes for neurostimulation in roach biobots.,ObservationalStudy,,2018,0.0,1.0
30295628,Maximizing Data Transmission Rate for Implantable Devices Over a Single Inductive Link: Methodological Review.,SystematicReview,,2019,0.0,1.0
30291521,Unique Populations with Episodic Migraine: Pregnant and Lactating Women.,SystematicReview,Drug safety,2018,0.0,1.0
30267724,Cognitive tasks and human ambulatory electrocorticography using the RNS System.,ObservationalStudy,Ambulatory ECoG,2019,0.0,1.0
30249417,"Neurostimulation in tardive dystonia/dyskinesia: A delayed start, sham stimulation-controlled randomized trial.",RCT,Deep brain stimulation,,0.0,1.0
30243756,Responsive neurostimulation: Review of clinical trials and insights into focal epilepsy.,SystematicReview,Cortical stimulation,2018,0.0,1.0
30242519,Migraine and cluster headache - the common link.,SystematicReview,Anti-CGRP (receptor) monoclonal antibodies – mAbs,2018,0.0,1.0
30241957,Putting it all together: Options for intractable epilepsy: An updated algorithm on the use of epilepsy surgery and neurostimulation.,SystematicReview,Epilepsy,2018,0.0,1.0
30236810,"Initial Results of Bilateral Subthalamic Nucleus Stimulation for Parkinson Disease in a Newly Established Center in a Developing Country: Shiraz, Southern Iran.",ObservationalStudy,Deep brain stimulation,2019,0.0,1.0
30220068,Allergy to Surgical Implants.,SystematicReview,Adhesive allergy,2019,0.0,1.0
31035839,"The involvement of liquid crystals in multichannel implanted neurostimulators, hearing and ENT infections, and cancer.",SystematicReview,Biocolloid,2019,,1.0
17618538,Neurostimulators in epilepsy.,SystematicReview,,2007,,1.0
31635298,A Review of Neurostimulation for Epilepsy in Pediatrics.,SystematicReview,chronic subthreshold cortical stimulation,2019,,1.0
28870357,Neurostimulation Devices for the Treatment of Neurologic Disorders.,SystematicReview,,2017,,1.0
29316056,Rechargeable Internal Pulse Generators as Initial Neurostimulators for Deep Brain Stimulation in Patients With Movement Disorders.,ObservationalStudy,Deep brain stimulation,2018,,1.0
30929666,Long-term outcome in neurostimulation of epilepsy.,RCT,Closed-loop stimulation,2019,,1.0
27224659,The Dorsal Root Ganglion as a Therapeutic Target for Chronic Pain.,SystematicReview,,,,1.0
29285576,"Sphenopalatine ganglion: block, radiofrequency ablation and neurostimulation - a systematic review.",SystematicReview,Block,2017,,1.0
30291633,Neurostimulation for the treatment of chronic migraine and cluster headache.,SystematicReview,chronic cluster,2019,,1.0
21812772,"Neurostimulation for primary headache disorders: Part 2, review of central neurostimulators for primary headache, overall therapeutic efficacy, safety, cost, patient selection, and future research in headache neuromodulation.",SystematicReview,,2011,,1.0
1371004,The effect of magnetic resonance imagers on implanted neurostimulators.,ObservationalStudy,,1992,,1.0
32333552,Recommendations for Deep Brain Stimulation Device Management During a Pandemic.,SystematicReview,COVID-19,2020,,1.0
31310417,Effectiveness of Neurostimulation Technologies for the Management of Chronic Pain: A Systematic Review.,SystematicReview,Chronic pain,2020,,1.0
21992157,Simultaneous use of neurostimulators in patients with a preexisting cardiovascular implantable electronic device.,ObservationalStudy,,2011,,1.0
25616485,Long-term treatment with responsive brain stimulation in adults with refractory partial seizures.,RCT,,2015,,1.0
31393326,Neurostimulation for tear production.,SystematicReview,,2019,,1.0
30259254,"Sleep, Circadian Rhythms, and Epilepsy.",SystematicReview,Circadian rhythms,2018,,1.0
29675810,Neurostimulation for Memory Enhancement in Epilepsy.,SystematicReview,Accelerated forgetting,2018,,1.0
31198470,Role of Rehabilitation in Neural Plasticity.,SystematicReview,Aerobic fitness,2019,,1.0
26904417,Neuromodulation in neurogenic bladder.,SystematicReview,Neurogenic bladder,2016,,1.0
27009564,Invasive pericranial nerve interventions.,SystematicReview,Migraine,2016,,1.0
29588969,Neurostimulation as a promising epilepsy therapy.,SystematicReview,Deep brain stimulation,2017,,1.0
26615113,Responsive Direct Brain Stimulation for Epilepsy.,SystematicReview,Closed-loop,2016,,1.0
24621228,Two-year seizure reduction in adults with medically intractable partial onset epilepsy treated with responsive neurostimulation: final results of the RNS System Pivotal trial.,RCT,Cortical stimulation,2014,,1.0
30419304,"Neurostimulation in dry eye disease-past, present, and future.",SystematicReview,Dry eye disease,2019,,1.0
27152027,Neurostimulation in the treatment of primary headaches.,SystematicReview,HEADACHE,2016,,1.0
30064326,Deep brain stimulation for seizure control in drug-resistant epilepsy.,SystematicReview,AED = antiepileptic drug,2018,,1.0
28134608,Electrostimulation for Refractory Epilepsy: A Review.,SystematicReview,,2016,,1.0
28251589,Neurostimulation Devices Used in Treatment of Epilepsy.,SystematicReview,Closed-loop,2017,,1.0
29588984,Effect of neurostimulation on cognition and mood in refractory epilepsy.,SystematicReview,Deep brain stimulation,2018,,1.0
23583414,Neurostimulation in the treatment of epilepsy.,SystematicReview,,2013,,1.0
29957285,Selective upper airway stimulation in older patients.,RCT,CPAP intolerance,2018,,1.0
32126288,Endocrine and immune effects of non-convulsive neurostimulation in depression: A systematic review.,SystematicReview,Cytokines,2020,,1.0
30560221,Seizure localization by chronic ambulatory electrocorticography.,CaseSeries,Chronic electrocorticography,2018,,1.0
26394030,Peripheral Neurostimulation with a Microsize Wireless Stimulator.,SystematicReview,,2015,,1.0
25921343,The injectable neurostimulator: an emerging therapeutic device.,SystematicReview,biocompatible materials,2015,,1.0
9894972,Magnetic resonance imaging with implanted neurostimulators: an in vitro and in vivo study.,ObservationalStudy,,1999,,1.0
28287977,Neurostimulation Strategy for Stress Urinary Incontinence.,ObservationalStudy,,2017,,1.0
28387016,"Sphenopalatine Ganglion (SPG): Stimulation Mechanism, Safety, and Efficacy.",SystematicReview,SPG,2017,,1.0
28476683,Neurostimulation Therapy for Pediatric Primary Enuresis: A Meta-analysis.,MetaAnalysis,,2017,,1.0
29308739,Neurostimulation in Clinical and Sub-clinical Eating Disorders: A Systematic Update of the Literature.,SystematicReview,Anorexia nervosa,2018,,1.0
27899261,A prestimulation evaluation protocol for patients with drug resistant epilepsy.,SystematicReview,Epilepsy,2017,,1.0
19249609,The impact of dental devices on neurostimulators.,ObservationalStudy,,2009,,1.0
27389599,[Invasive stimulation procedures and EEG diagnostics in epilepsy].,SystematicReview,Drug refractory epilepsy,2016,,1.0
27186523,Emerging surgical therapies in the treatment of pediatric epilepsy.,SystematicReview,Epilepsy,2016,,1.0
27776384,Neuro-stimulation Techniques for the Management of Anxiety Disorders: An Update.,SystematicReview,Anxiety disorders,2016,,1.0
25581846,Neurostimulation of the gastrointestinal tract: review of recent developments.,SystematicReview,Gastric electrical stimulation,2015,,1.0
24709892,Electrical brain stimulation for epilepsy.,ObservationalStudy,,2014,,1.0
24527699,Neurostimulation for neck pain and headache.,SystematicReview,chronic migraine,2014,,1.0
24850309,Closed-loop neurostimulation: the clinical experience.,SystematicReview,,2014,,1.0
31947030,A Wireless Neurostimulator System with an Embedded ARM™ Microprocessor.,ObservationalStudy,,2019,,1.0
24353109,Invasive neurostimulation in stroke rehabilitation.,ObservationalStudy,,2014,,1.0
26491376,Critical review of the responsive neurostimulator system for epilepsy.,SystematicReview,brain stimulation,2015,,1.0
26177612,Neurostimulation for Treatment of Migraine and Cluster Headache.,SystematicReview,Cluster Headache,2015,,1.0
28160397,Alternate Intraspinal Targets for Spinal Cord Stimulation: A Systematic Review.,SystematicReview,Cervicomedullary spinal cord stimulation,2017,,1.0
25000835,The role of neurostimulation in the treatment of neuropathic pain.,SystematicReview,,2013,,1.0
27583411,Neurostimulation of the gastrointestinal tract in children: is it time to shock the gut?,SystematicReview,,2016,,1.0
24112896,Deep brain stimulation for epilepsy.,ObservationalStudy,brain stimulation,2013,,1.0
30139273,Rationale for electrical parameter determination in external trigeminal nerve stimulation (eTNS) for migraine: A narrative review.,SystematicReview,Cefaly,2019,,1.0
28822321,Neurostimulation techniques in the treatment of cocaine dependence: A review of the literature.,SystematicReview,Cocaine,2018,,1.0
31947314,Tracking Changes in Brain Network Connectivity under Transcranial Current Stimulation.,ObservationalStudy,,2019,,1.0
23926577,Advances in brain stimulation for depression.,ObservationalStudy,,2013,,1.0
29184478,Visual Prosthesis: Interfacing Stimulating Electrodes with Retinal Neurons to Restore Vision.,SystematicReview,carbon nanotubes,2017,,1.0
22367987,Therapeutic devices for epilepsy.,ObservationalStudy,,2012,,1.0
28477779,Non-Mask-based Therapies for Central Sleep Apnea in Patients with Heart Failure.,SystematicReview,Acetazolamide,2017,,1.0
21422790,Peripheral nerve stimulation: definition.,SystematicReview,,2011,,1.0
29692707,Vagus Nerve Stimulation (VNS) and Other Augmentation Strategies for Therapy-Resistant Depression (TRD): Review of the Evidence and Clinical Advice for Use.,SystematicReview,affective disorders,2018,,1.0
30013930,Responsive neurostimulation for treatment of pediatric drug-resistant epilepsy.,Other,Devices,2018,,1.0
22801664,[Neurostimulation for treatment of headaches].,SystematicReview,,2012,,1.0
31166317,[The use of surgical neuromodulation to treat chronic pelvic pain].,ObservationalStudy,chronic pelvic pain,2019,,1.0
22062943,Neurostimulation: vagus nerve stimulation and beyond.,SystematicReview,,2011,,1.0
23739108,Neurostimulation for drug-resistant epilepsy.,ObservationalStudy,,2013,,1.0
24974772,Principles of cord activation during spinal cord stimulation.,SystematicReview,Anode,2014,,1.0
24293088,Sphenopalatine ganglion neuromodulation in migraine: what is the rationale?,SystematicReview,Sphenopalatine ganglion,2014,,1.0
26834541,Non-invasive Brain Stimulation and Auditory Verbal Hallucinations: New Techniques and Future Directions.,ObservationalStudy,hallucinations,2015,,1.0
21422788,Spinal nerve root stimulation.,SystematicReview,,2011,,1.0
21447901,"Epilepsy, consciousness and neurostimulation.",SystematicReview,,2011,,1.0
22814542,Advances and challenges in neurostimulation for headaches.,SystematicReview,,2012,,1.0
29336029,Sudden unexpected death in epilepsy in patients treated with brain-responsive neurostimulation.,ObservationalStudy,brain stimulation,2018,,1.0
23916527,Effects of non-invasive neurostimulation on craving: a meta-analysis.,MetaAnalysis,Addiction,2013,,1.0
23687279,Neurostimulation in cluster headache: a review of current progress.,SystematicReview,Cluster headache,2013,,1.0
29907607,Comment: Noninvasive neurostimulation for migraine should be part of the general neurologist's therapeutic armamentarium.,Other,,2018,,1.0
31476515,Chronic Electrical Stimulation for Tear Secretion: Lacrimal vs. anterior ethmoid nerve.,ObservationalStudy,Anterior ethmoid nerve stimulation,2019,,1.0
22482238,[Neurostimulation: which place in the treatment of refractory headaches?].,SystematicReview,,2012,,1.0
31611764,A Multi-Channel Asynchronous Neurostimulator With Artifact Suppression for Neural Code-Based Stimulations.,ObservationalStudy,artifact suppression,2019,,1.0
29155063,Robotic-Guided Bihippocampal and Biparahippocampal Depth Placement for Responsive Neurostimulation in Bitemporal Lobe Epilepsy.,ObservationalStudy,Bitemporal epilepsy,2018,,1.0
24409042,Posterior tibial nerve stimulation for fecal incontinence: where are we?,SystematicReview,Efficacy of treatment,2013,,1.0
30444834,Neurostimulation-guided Anal Intrasphincteric Botulinum Toxin Injection in Children With Hirschsprung Disease.,CohortStudy,,2019,,1.0
15698879,Percutaneous neuromodulation.,SystematicReview,,2005,,1.0
32490037,A computational outlook on neurostimulation.,ObservationalStudy,Chronic pain,2020,,1.0
27430172,Technical challenges and safety of magnetic resonance imaging with in situ neuromodulation from spine to brain.,SystematicReview,MR imaging,2017,,1.0
28028671,Anesthesia considerations for patients with an implanted deep brain stimulator undergoing surgery: a review and update.,SystematicReview,,2017,,1.0
29220326,A Portable Ultrasound System for Non-Invasive Ultrasonic Neuro-Stimulation.,ObservationalStudy,,2017,,1.0
29588964,Application of RNS in refractory epilepsy: Targeting insula.,ObservationalStudy,Epilepsy,2017,,1.0
24802237,International neuromodulation society critical assessment: guideline review of implantable neurostimulation devices.,SystematicReview,Chronic pain,2014,,1.0
